run-provenance: commit=20b3605 job=5872532 attempt=0 tag=k264 size=264 seed=42 time_cap=1800000s partition=bem2-cpu-normal host=r22c01b03.bem2.kdm.wcss.pl started=2026-09-11T14:37:56+02:00
run-argv:  
run-segment: base=slurm_mpx264_s42_k264 checkpoint=/home/alelys2099/mpx_runs/checkpoints/slurm_mpx264_s42_k264.ckpt checkpoint_every=100000 resumed=no
acs2-bench mpx-reach: agent=acs2 sizes=[264] n_exp=1 seed=42 rss_cap=5.6GB time_cap=1800000s do_ga=true alp_gen_variant=pyalcs epsilon=0.8 encoding=outcome eval_interval=5000 accuracy_every=20 strict_resource_limits=false rss_scope=process-lifetime checkpoint=on checkpoint_every=100000
  mem mpx-264 (N=265): condition=530B effect=530B mark=6360B (stack) classifier=7504B  mark/classifier=84.8%  rss-cap pop-threshold=746268
  mpx-264 trials_cap=18446744073709551615 (= 20000*2^(k-6)*10, clamped to u64::MAX) u_max=12
  mpx-264 traj: trials=5000 wall=103s knowledge=0.0000 reliable=0 spec=0.00 pop=5701
  mpx-264 traj: trials=10000 wall=125s knowledge=0.0000 reliable=0 spec=0.00 pop=6467
  mpx-264 traj: trials=15000 wall=151s knowledge=0.0000 reliable=0 spec=0.00 pop=7009
  mpx-264 traj: trials=20000 wall=179s knowledge=0.0000 reliable=0 spec=0.00 pop=7427
  mpx-264 traj: trials=25000 wall=210s knowledge=0.0000 reliable=0 spec=0.00 pop=8177
  mpx-264 traj: trials=30000 wall=245s knowledge=0.0000 reliable=0 spec=0.00 pop=8700
  mpx-264 traj: trials=35000 wall=282s knowledge=0.0000 reliable=0 spec=0.00 pop=8959
  mpx-264 traj: trials=40000 wall=319s knowledge=0.0000 reliable=0 spec=0.00 pop=9520
  mpx-264 traj: trials=45000 wall=358s knowledge=0.0000 reliable=0 spec=0.00 pop=9849
  mpx-264 traj: trials=50000 wall=396s knowledge=0.0000 reliable=0 spec=0.00 pop=9871
  mpx-264 traj: trials=55000 wall=434s knowledge=0.0000 reliable=0 spec=0.00 pop=10076
  mpx-264 traj: trials=60000 wall=471s knowledge=0.0000 reliable=0 spec=0.00 pop=10635
  mpx-264 traj: trials=65000 wall=513s knowledge=0.0000 reliable=0 spec=0.00 pop=11179
  mpx-264 traj: trials=70000 wall=557s knowledge=0.0000 reliable=0 spec=0.00 pop=11569
  mpx-264 traj: trials=75000 wall=599s knowledge=0.0000 reliable=0 spec=0.00 pop=11643
  mpx-264 traj: trials=80000 wall=640s knowledge=0.0000 reliable=0 spec=0.00 pop=12535
  mpx-264 traj: trials=85000 wall=685s knowledge=0.0000 reliable=0 spec=0.00 pop=12630
  mpx-264 traj: trials=90000 wall=731s knowledge=0.0000 reliable=0 spec=0.00 pop=12892
  mpx-264 traj: trials=95000 wall=778s knowledge=0.0000 reliable=0 spec=0.00 pop=12813
  mpx-264 traj: trials=100000 wall=825s knowledge=0.0000 reliable=0 spec=0.00 pop=13394
  mpx-264 acc: trials=100000 accuracy=0.5036
  mpx-264 traj: trials=105000 wall=931s knowledge=0.0000 reliable=0 spec=0.00 pop=14161
  mpx-264 traj: trials=110000 wall=986s knowledge=0.0000 reliable=0 spec=0.00 pop=14431
  mpx-264 traj: trials=115000 wall=1042s knowledge=0.0000 reliable=0 spec=0.00 pop=14631
  mpx-264 traj: trials=120000 wall=1097s knowledge=0.0000 reliable=0 spec=0.00 pop=14932
  mpx-264 traj: trials=125000 wall=1152s knowledge=0.0000 reliable=0 spec=0.00 pop=15121
  mpx-264 traj: trials=130000 wall=1211s knowledge=0.0000 reliable=0 spec=0.00 pop=15939
  mpx-264 traj: trials=135000 wall=1269s knowledge=0.0000 reliable=0 spec=0.00 pop=15970
  mpx-264 traj: trials=140000 wall=1330s knowledge=0.0000 reliable=0 spec=0.00 pop=16498
  mpx-264 traj: trials=145000 wall=1392s knowledge=0.0000 reliable=0 spec=0.00 pop=16880
  mpx-264 traj: trials=150000 wall=1457s knowledge=0.0000 reliable=0 spec=0.00 pop=17335
  mpx-264 traj: trials=155000 wall=1525s knowledge=0.0000 reliable=0 spec=0.00 pop=18039
  mpx-264 traj: trials=160000 wall=1588s knowledge=0.0000 reliable=0 spec=0.00 pop=18597
  mpx-264 traj: trials=165000 wall=1656s knowledge=0.0000 reliable=0 spec=0.00 pop=18842
  mpx-264 traj: trials=170000 wall=1727s knowledge=0.0000 reliable=0 spec=0.00 pop=19242
  mpx-264 traj: trials=175000 wall=1801s knowledge=0.0000 reliable=0 spec=0.00 pop=19859
  mpx-264 traj: trials=180000 wall=1876s knowledge=0.0000 reliable=0 spec=0.00 pop=19948
  mpx-264 traj: trials=185000 wall=1952s knowledge=0.0000 reliable=0 spec=0.00 pop=20059
  mpx-264 traj: trials=190000 wall=2028s knowledge=0.0000 reliable=0 spec=0.00 pop=20205
  mpx-264 traj: trials=195000 wall=2103s knowledge=0.0000 reliable=0 spec=0.00 pop=20745
  mpx-264 traj: trials=200000 wall=2182s knowledge=0.0000 reliable=0 spec=0.00 pop=21800
  mpx-264 acc: trials=200000 accuracy=0.5017
  mpx-264 traj: trials=205000 wall=2352s knowledge=0.0000 reliable=0 spec=0.00 pop=21749
  mpx-264 traj: trials=210000 wall=2430s knowledge=0.0000 reliable=0 spec=0.00 pop=21559
  mpx-264 traj: trials=215000 wall=2507s knowledge=0.0000 reliable=0 spec=0.00 pop=22009
  mpx-264 traj: trials=220000 wall=2582s knowledge=0.0000 reliable=0 spec=0.00 pop=22389
  mpx-264 traj: trials=225000 wall=2658s knowledge=0.0000 reliable=0 spec=0.00 pop=22338
  mpx-264 traj: trials=230000 wall=2739s knowledge=0.0000 reliable=0 spec=0.00 pop=22352
  mpx-264 traj: trials=235000 wall=2818s knowledge=0.0000 reliable=0 spec=0.00 pop=22917
  mpx-264 traj: trials=240000 wall=2902s knowledge=0.0000 reliable=0 spec=0.00 pop=22568
  mpx-264 traj: trials=245000 wall=2981s knowledge=0.0000 reliable=0 spec=0.00 pop=22836
  mpx-264 traj: trials=250000 wall=3062s knowledge=0.0000 reliable=0 spec=0.00 pop=23471
  mpx-264 traj: trials=255000 wall=3148s knowledge=0.0000 reliable=0 spec=0.00 pop=23757
  mpx-264 traj: trials=260000 wall=3234s knowledge=0.0000 reliable=0 spec=0.00 pop=23731
  mpx-264 traj: trials=265000 wall=3316s knowledge=0.0000 reliable=0 spec=0.00 pop=24142
  mpx-264 traj: trials=270000 wall=3398s knowledge=0.0000 reliable=0 spec=0.00 pop=24360
  mpx-264 traj: trials=275000 wall=3488s knowledge=0.0000 reliable=0 spec=0.00 pop=25036
  mpx-264 traj: trials=280000 wall=3574s knowledge=0.0000 reliable=0 spec=0.00 pop=25348
  mpx-264 traj: trials=285000 wall=3660s knowledge=0.0000 reliable=0 spec=0.00 pop=25483
  mpx-264 traj: trials=290000 wall=3753s knowledge=0.0000 reliable=0 spec=0.00 pop=25631
  mpx-264 traj: trials=295000 wall=3842s knowledge=0.0000 reliable=0 spec=0.00 pop=25914
  mpx-264 traj: trials=300000 wall=3932s knowledge=0.0000 reliable=0 spec=0.00 pop=26718
  mpx-264 acc: trials=300000 accuracy=0.5017
  mpx-264 traj: trials=305000 wall=4156s knowledge=0.0000 reliable=0 spec=0.00 pop=27222
  mpx-264 traj: trials=310000 wall=4259s knowledge=0.0000 reliable=0 spec=0.00 pop=27047
  mpx-264 traj: trials=315000 wall=4357s knowledge=0.0000 reliable=0 spec=0.00 pop=27175
  mpx-264 traj: trials=320000 wall=4450s knowledge=0.0000 reliable=0 spec=0.00 pop=26882
  mpx-264 traj: trials=325000 wall=4540s knowledge=0.0000 reliable=0 spec=0.00 pop=27175
  mpx-264 traj: trials=330000 wall=4633s knowledge=0.0000 reliable=0 spec=0.00 pop=27484
  mpx-264 traj: trials=335000 wall=4729s knowledge=0.0000 reliable=0 spec=0.00 pop=27636
  mpx-264 traj: trials=340000 wall=4825s knowledge=0.0000 reliable=0 spec=0.00 pop=28297
  mpx-264 traj: trials=345000 wall=4924s knowledge=0.0000 reliable=0 spec=0.00 pop=28340
  mpx-264 traj: trials=350000 wall=5024s knowledge=0.0000 reliable=0 spec=0.00 pop=28460
  mpx-264 traj: trials=355000 wall=5123s knowledge=0.0000 reliable=0 spec=0.00 pop=28448
  mpx-264 traj: trials=360000 wall=5223s knowledge=0.0000 reliable=0 spec=0.00 pop=28787
  mpx-264 traj: trials=365000 wall=5325s knowledge=0.0000 reliable=0 spec=0.00 pop=29405
  mpx-264 traj: trials=370000 wall=5426s knowledge=0.0000 reliable=0 spec=0.00 pop=29374
  mpx-264 traj: trials=375000 wall=5528s knowledge=0.0000 reliable=0 spec=0.00 pop=29925
  mpx-264 traj: trials=380000 wall=5637s knowledge=0.0000 reliable=0 spec=0.00 pop=30270
  mpx-264 traj: trials=385000 wall=5744s knowledge=0.0000 reliable=0 spec=0.00 pop=30428
  mpx-264 traj: trials=390000 wall=5852s knowledge=0.0000 reliable=0 spec=0.00 pop=30877
  mpx-264 traj: trials=395000 wall=5963s knowledge=0.0000 reliable=0 spec=0.00 pop=31044
  mpx-264 traj: trials=400000 wall=6076s knowledge=0.0000 reliable=0 spec=0.00 pop=31585
  mpx-264 acc: trials=400000 accuracy=0.4996
  mpx-264 traj: trials=405000 wall=6346s knowledge=0.0000 reliable=0 spec=0.00 pop=31466
  mpx-264 traj: trials=410000 wall=6461s knowledge=0.0000 reliable=0 spec=0.00 pop=31794
  mpx-264 traj: trials=415000 wall=6571s knowledge=0.0000 reliable=0 spec=0.00 pop=32249
  mpx-264 traj: trials=420000 wall=6685s knowledge=0.0000 reliable=0 spec=0.00 pop=32380
  mpx-264 traj: trials=425000 wall=6803s knowledge=0.0000 reliable=0 spec=0.00 pop=32519
  mpx-264 traj: trials=430000 wall=6921s knowledge=0.0000 reliable=0 spec=0.00 pop=32705
  mpx-264 traj: trials=435000 wall=7038s knowledge=0.0000 reliable=0 spec=0.00 pop=32824
  mpx-264 traj: trials=440000 wall=7155s knowledge=0.0000 reliable=0 spec=0.00 pop=33409
  mpx-264 traj: trials=445000 wall=7277s knowledge=0.0000 reliable=0 spec=0.00 pop=33695
  mpx-264 traj: trials=450000 wall=7400s knowledge=0.0000 reliable=0 spec=0.00 pop=33974
  mpx-264 traj: trials=455000 wall=7526s knowledge=0.0000 reliable=0 spec=0.00 pop=34112
  mpx-264 traj: trials=460000 wall=7653s knowledge=0.0000 reliable=0 spec=0.00 pop=34628
  mpx-264 traj: trials=465000 wall=7777s knowledge=0.0000 reliable=0 spec=0.00 pop=34376
  mpx-264 traj: trials=470000 wall=7897s knowledge=0.0000 reliable=0 spec=0.00 pop=34487
  mpx-264 traj: trials=475000 wall=8021s knowledge=0.0000 reliable=0 spec=0.00 pop=35735
  mpx-264 traj: trials=480000 wall=8155s knowledge=0.0000 reliable=0 spec=0.00 pop=35866
  mpx-264 traj: trials=485000 wall=8287s knowledge=0.0000 reliable=0 spec=0.00 pop=35886
  mpx-264 traj: trials=490000 wall=8415s knowledge=0.0000 reliable=0 spec=0.00 pop=36561
  mpx-264 traj: trials=495000 wall=8549s knowledge=0.0000 reliable=0 spec=0.00 pop=36846
  mpx-264 traj: trials=500000 wall=8685s knowledge=0.0000 reliable=0 spec=0.00 pop=37509
  mpx-264 acc: trials=500000 accuracy=0.5008
  mpx-264 traj: trials=505000 wall=9033s knowledge=0.0000 reliable=0 spec=0.00 pop=37589
  mpx-264 traj: trials=510000 wall=9174s knowledge=0.0000 reliable=0 spec=0.00 pop=38002
  mpx-264 traj: trials=515000 wall=9321s knowledge=0.0000 reliable=0 spec=0.00 pop=38349
  mpx-264 traj: trials=520000 wall=9467s knowledge=0.0000 reliable=0 spec=0.00 pop=38719
  mpx-264 traj: trials=525000 wall=9612s knowledge=0.0000 reliable=0 spec=0.00 pop=38718
  mpx-264 traj: trials=530000 wall=9754s knowledge=0.0000 reliable=0 spec=0.00 pop=38942
  mpx-264 traj: trials=535000 wall=9898s knowledge=0.0000 reliable=0 spec=0.00 pop=39053
  mpx-264 traj: trials=540000 wall=10048s knowledge=0.0000 reliable=0 spec=0.00 pop=39537
  mpx-264 traj: trials=545000 wall=10200s knowledge=0.0000 reliable=0 spec=0.00 pop=39837
  mpx-264 traj: trials=550000 wall=10353s knowledge=0.0000 reliable=0 spec=0.00 pop=39631
  mpx-264 traj: trials=555000 wall=10499s knowledge=0.0000 reliable=0 spec=0.00 pop=40026
  mpx-264 traj: trials=560000 wall=10642s knowledge=0.0000 reliable=0 spec=0.00 pop=40267
  mpx-264 traj: trials=565000 wall=10797s knowledge=0.0000 reliable=0 spec=0.00 pop=40293
  mpx-264 traj: trials=570000 wall=10950s knowledge=0.0000 reliable=0 spec=0.00 pop=40725
  mpx-264 traj: trials=575000 wall=11107s knowledge=0.0000 reliable=0 spec=0.00 pop=40712
  mpx-264 traj: trials=580000 wall=11263s knowledge=0.0000 reliable=0 spec=0.00 pop=41238
  mpx-264 traj: trials=585000 wall=11420s knowledge=0.0000 reliable=0 spec=0.00 pop=41591
  mpx-264 traj: trials=590000 wall=11586s knowledge=0.0000 reliable=0 spec=0.00 pop=41853
  mpx-264 traj: trials=595000 wall=11749s knowledge=0.0000 reliable=0 spec=0.00 pop=42206
  mpx-264 traj: trials=600000 wall=11911s knowledge=0.0000 reliable=0 spec=0.00 pop=42296
  mpx-264 acc: trials=600000 accuracy=0.5029
  mpx-264 traj: trials=605000 wall=12383s knowledge=0.0000 reliable=0 spec=0.00 pop=42167
  mpx-264 traj: trials=610000 wall=12544s knowledge=0.0000 reliable=0 spec=0.00 pop=42876
  mpx-264 traj: trials=615000 wall=12718s knowledge=0.0000 reliable=0 spec=0.00 pop=42295
  mpx-264 traj: trials=620000 wall=12877s knowledge=0.0000 reliable=0 spec=0.00 pop=42984
  mpx-264 traj: trials=625000 wall=13038s knowledge=0.0000 reliable=0 spec=0.00 pop=42874
  mpx-264 traj: trials=630000 wall=13208s knowledge=0.0000 reliable=0 spec=0.00 pop=43912
  mpx-264 traj: trials=635000 wall=13382s knowledge=0.0000 reliable=0 spec=0.00 pop=43892
  mpx-264 traj: trials=640000 wall=13557s knowledge=0.0000 reliable=0 spec=0.00 pop=44525
  mpx-264 traj: trials=645000 wall=13725s knowledge=0.0000 reliable=0 spec=0.00 pop=44720
  mpx-264 traj: trials=650000 wall=13898s knowledge=0.0000 reliable=0 spec=0.00 pop=44133
  mpx-264 traj: trials=655000 wall=14069s knowledge=0.0000 reliable=0 spec=0.00 pop=44717
  mpx-264 traj: trials=660000 wall=14248s knowledge=0.0000 reliable=0 spec=0.00 pop=44925
  mpx-264 traj: trials=665000 wall=14420s knowledge=0.0000 reliable=0 spec=0.00 pop=45232
  mpx-264 traj: trials=670000 wall=14593s knowledge=0.0000 reliable=0 spec=0.00 pop=45777
  mpx-264 traj: trials=675000 wall=14771s knowledge=0.0000 reliable=0 spec=0.00 pop=46498
  mpx-264 traj: trials=680000 wall=14956s knowledge=0.0000 reliable=0 spec=0.00 pop=46514
  mpx-264 traj: trials=685000 wall=15141s knowledge=0.0000 reliable=0 spec=0.00 pop=46989
  mpx-264 traj: trials=690000 wall=15332s knowledge=0.0000 reliable=0 spec=0.00 pop=47005
  mpx-264 traj: trials=695000 wall=15507s knowledge=0.0000 reliable=0 spec=0.00 pop=47818
  mpx-264 traj: trials=700000 wall=15702s knowledge=0.0000 reliable=0 spec=0.00 pop=47486
  mpx-264 acc: trials=700000 accuracy=0.4991
  mpx-264 traj: trials=705000 wall=16201s knowledge=0.0000 reliable=0 spec=0.00 pop=47404
  mpx-264 traj: trials=710000 wall=16385s knowledge=0.0000 reliable=0 spec=0.00 pop=47980
  mpx-264 traj: trials=715000 wall=16568s knowledge=0.0000 reliable=0 spec=0.00 pop=47404
  mpx-264 traj: trials=720000 wall=16751s knowledge=0.0000 reliable=0 spec=0.00 pop=47333
  mpx-264 traj: trials=725000 wall=16929s knowledge=0.0000 reliable=0 spec=0.00 pop=47515
  mpx-264 traj: trials=730000 wall=17114s knowledge=0.0000 reliable=0 spec=0.00 pop=47695
  mpx-264 traj: trials=735000 wall=17291s knowledge=0.0000 reliable=0 spec=0.00 pop=48105
  mpx-264 traj: trials=740000 wall=17476s knowledge=0.0000 reliable=0 spec=0.00 pop=48494
  mpx-264 traj: trials=745000 wall=17668s knowledge=0.0000 reliable=0 spec=0.00 pop=48652
  mpx-264 traj: trials=750000 wall=17858s knowledge=0.0000 reliable=0 spec=0.00 pop=48646
  mpx-264 traj: trials=755000 wall=18039s knowledge=0.0000 reliable=0 spec=0.00 pop=49017
  mpx-264 traj: trials=760000 wall=18231s knowledge=0.0000 reliable=0 spec=0.00 pop=49312
  mpx-264 traj: trials=765000 wall=18424s knowledge=0.0000 reliable=0 spec=0.00 pop=49745
  mpx-264 traj: trials=770000 wall=18622s knowledge=0.0000 reliable=0 spec=0.00 pop=50375
  mpx-264 traj: trials=775000 wall=18818s knowledge=0.0000 reliable=0 spec=0.00 pop=50526
  mpx-264 traj: trials=780000 wall=19017s knowledge=0.0000 reliable=0 spec=0.00 pop=50330
  mpx-264 traj: trials=785000 wall=19219s knowledge=0.0000 reliable=0 spec=0.00 pop=50414
  mpx-264 traj: trials=790000 wall=19420s knowledge=0.0000 reliable=0 spec=0.00 pop=50601
  mpx-264 traj: trials=795000 wall=19615s knowledge=0.0000 reliable=0 spec=0.00 pop=51055
  mpx-264 traj: trials=800000 wall=19808s knowledge=0.0000 reliable=0 spec=0.00 pop=50889
  mpx-264 acc: trials=800000 accuracy=0.5039
  mpx-264 traj: trials=805000 wall=20317s knowledge=0.0000 reliable=0 spec=0.00 pop=51797
  mpx-264 traj: trials=810000 wall=20520s knowledge=0.0000 reliable=0 spec=0.00 pop=51452
  mpx-264 traj: trials=815000 wall=20706s knowledge=0.0000 reliable=0 spec=0.00 pop=51766
  mpx-264 traj: trials=820000 wall=20906s knowledge=0.0000 reliable=0 spec=0.00 pop=51221
  mpx-264 traj: trials=825000 wall=21101s knowledge=0.0000 reliable=0 spec=0.00 pop=51759
  mpx-264 traj: trials=830000 wall=21298s knowledge=0.0000 reliable=0 spec=0.00 pop=51476
  mpx-264 traj: trials=835000 wall=21489s knowledge=0.0000 reliable=0 spec=0.00 pop=51939
  mpx-264 traj: trials=840000 wall=21662s knowledge=0.0000 reliable=0 spec=0.00 pop=52430
  mpx-264 traj: trials=845000 wall=21836s knowledge=0.0000 reliable=0 spec=0.00 pop=52443
  mpx-264 traj: trials=850000 wall=22010s knowledge=0.0000 reliable=0 spec=0.00 pop=52915
  mpx-264 traj: trials=855000 wall=22187s knowledge=0.0000 reliable=0 spec=0.00 pop=52764
  mpx-264 traj: trials=860000 wall=22359s knowledge=0.0000 reliable=0 spec=0.00 pop=53448
  mpx-264 traj: trials=865000 wall=22543s knowledge=0.0000 reliable=0 spec=0.00 pop=53612
  mpx-264 traj: trials=870000 wall=22727s knowledge=0.0000 reliable=0 spec=0.00 pop=53985
  mpx-264 traj: trials=875000 wall=22908s knowledge=0.0000 reliable=0 spec=0.00 pop=54023
  mpx-264 traj: trials=880000 wall=23090s knowledge=0.0000 reliable=0 spec=0.00 pop=54309
  mpx-264 traj: trials=885000 wall=23274s knowledge=0.0000 reliable=0 spec=0.00 pop=54086
  mpx-264 traj: trials=890000 wall=23458s knowledge=0.0000 reliable=0 spec=0.00 pop=53786
  mpx-264 traj: trials=895000 wall=23630s knowledge=0.0000 reliable=0 spec=0.00 pop=53974
  mpx-264 traj: trials=900000 wall=23807s knowledge=0.0000 reliable=0 spec=0.00 pop=54196
  mpx-264 acc: trials=900000 accuracy=0.5008
  mpx-264 traj: trials=905000 wall=24174s knowledge=0.0000 reliable=0 spec=0.00 pop=54033
  mpx-264 traj: trials=910000 wall=24348s knowledge=0.0000 reliable=0 spec=0.00 pop=53584
  mpx-264 traj: trials=915000 wall=24520s knowledge=0.0000 reliable=0 spec=0.00 pop=54024
  mpx-264 traj: trials=920000 wall=24697s knowledge=0.0000 reliable=0 spec=0.00 pop=54362
  mpx-264 traj: trials=925000 wall=24876s knowledge=0.0000 reliable=0 spec=0.00 pop=54551
  mpx-264 traj: trials=930000 wall=25058s knowledge=0.0000 reliable=0 spec=0.00 pop=54441
  mpx-264 traj: trials=935000 wall=25237s knowledge=0.0000 reliable=0 spec=0.00 pop=54792
  mpx-264 traj: trials=940000 wall=25418s knowledge=0.0000 reliable=0 spec=0.00 pop=55171
  mpx-264 traj: trials=945000 wall=25602s knowledge=0.0000 reliable=0 spec=0.00 pop=55555
  mpx-264 traj: trials=950000 wall=25782s knowledge=0.0000 reliable=0 spec=0.00 pop=55923
  mpx-264 traj: trials=955000 wall=25969s knowledge=0.0000 reliable=0 spec=0.00 pop=55926
  mpx-264 traj: trials=960000 wall=26157s knowledge=0.0000 reliable=0 spec=0.00 pop=56353
